orf_name	Length	Mol_weight	PI
1550-5979(+)__1	67	7760.2	7.2399
70180-70673(+)__1	25	2877.44	8.6422
121529-122579(+)__1	47	5423.47	10.7817
125170-126882(+)__1	45	5185.32	8.9915
128809-134373(-)__1	73	8835.43	11.5258
152906-154119(+)__1	19	2210.71	11.4779
155648-158646(-)__1	56	6821.77	7.1622
164814-165200(-)__1	20	2211.65	12.8073
171578-183245(+)__1	64	7328.6	11.071
28755-30009(+)__1	41	4732.8	10.6391
39141-39986(+)__1	49	5839.24	11.6759
40316-42431(-)__1	43	4960.84	11.8838
53439-54360(-)__1	36	4004.54	6.969
82103-83549(-)__1	41	4990.78	9.1085
104005-104421(-)__1	20	2135.64	11.6501
118859-119931(+)__1	28	3014.69	10.1174
134247-134756(-)__1	24	2732.36	9.3247
135660-136668(-)__1	33	3979.59	9.1324
163975-166058(+)__1	42	5063.87	9.7012
179563-180043(-)__1	33	3763.45	6.039
226221-226721(+)__1	67	7888.31	10.098
242076-242511(+)__1	44	4984.94	10.0042
307204-307935(+)__1	33	3955.77	10.4852
307698-307935(-)__1	5	668.86	10.0208
314519-316481(+)__1	61	7251.59	10.1184
347805-351601(-)__1	45	5463.46	7.7866
374610-377074(+)__1	77	9030.81	9.4596
387501-388087(+)__1	23	2846.35	10.0347
389545-390378(-)__1	48	5683.31	7.3123
397153-398664(-)__1	44	5007.61	6.1385
409239-410024(-)__1	51	5688.57	6.9438
410721-415858(-)__1	81	9271.2	11.3428
412445-415187(-)__1	74	8688.34	10.067
446379-447425(+)__1	22	2577.08	10.1013
446769-447425(+)__1	27	3258.03	9.9254
462152-465009(+)__1	111	12515.39	10.3631
524415-527486(+)__1	50	5509.53	5.5723
577445-579070(-)__1	49	5609.3	9.8999
590808-593442(+)__1	55	6442.54	7.008
630598-630884(-)__1	19	2368.86	10.4338
639385-641769(+)__1	42	4963.71	10.2212
665529-666208(-)__1	73	8164.32	9.0841
712541-713239(-)__1	54	6230.65	8.0859
30898-31839(-)__1	37	4244.96	10.0373
40453-41269(+)__1	22	2485.02	7.0019
83436-83652(-)__1	4	522.7	5.55
83860-89103(+)__1	94	10942.83	9.3409
99664-102885(-)__1	70	8393.81	9.0815
105475-106044(+)__1	49	5772.99	8.5298
108937-110221(-)__1	47	5632.87	4.1472
123184-124134(-)__1	27	3115.71	9.2766
126502-127414(-)__1	40	4909.78	7.59
131690-132113(+)__1	19	2301.69	10.2246
150723-151973(-)__1	39	4549.19	5.3724
165440-165973(+)__1	26	3134.7	10.6391
