orf_name	Length	Mol_weight	PI
4253-6038(-)__1	77	9182.06	10.084
8866-11241(-)__1	8	1010.18	8.799
14520-15894(+)__1	49	5106.91	4.0625
16384-17638(+)__1	38	4084.65	10.8826
18114-19263(+)__1	46	4882.75	8.8113
19538-20105(+)__1	69	7721.91	10.8824
20427-21933(+)__1	50	5981.78	7.3554
22220-24845(+)__1	69	7887.95	8.5183
25105-25648(+)__1	33	3709.21	6.0105
25819-27961(-)__1	46	4938.69	5.3903
28848-31200(+)__1	78	9086.59	10.0725
31513-34654(+)__1	34	3635.44	5.9861
34812-35553(-)__1	37	4441.9	6.7013
35772-37758(-)__1	57	6545.59	7.1618
37946-39830(-)__1	32	3965.78	12.5066
40004-40343(-)__1	41	4535.38	11.5509
40493-40826(+)__1	19	2441.93	12.3551
40911-41424(-)__1	14	1595.85	8.0246
41671-44164(-)__1	53	5944.92	12.3622
44290-45538(+)__1	43	4617.31	8.7651
45810-48375(+)__1	69	8013.23	9.5701
48755-50525(-)__1	131	15716.03	10.0683
51747-52551(-)__1	52	5897.85	11.9119
54801-56304(+)__1	33	3794.47	7.0009
57017-57814(+)__1	38	4554.43	10.5313
58027-59137(-)__1	52	6244.62	10.8529
59405-62372(+)__1	77	8793.13	7.0577
62446-62587(-)__1	9	1035.18	9.1455
62638-63508(+)__1	38	4702.58	11.2007
63646-64873(-)__1	46	5344.3	10.0587
65628-66156(+)__1	56	6247.37	10.694
66237-67386(-)__1	51	5753.86	12.2333
67644-69927(-)__1	59	6905.27	11.4872
70180-70645(+)__1	32	3884.45	6.8751
70788-75198(-)__1	49	5713.64	9.1029
75837-77445(+)__1	37	4079.88	8.032
77658-78456(+)__1	38	4351.9	7.8659
78586-82654(-)__1	61	7358.91	10.8998
83160-84084(-)__1	41	4547.45	12.8105
84474-88803(-)__1	82	9714.35	10.7537
89194-91474(-)__1	64	7227.86	9.8219
91788-93342(-)__1	101	11326.13	10.886
93750-96270(-)__1	70	7880.76	8.5874
96583-97552(-)__1	42	4809.57	11.3387
97582-97747(+)__1	12	1302.52	5.5289
97866-101241(+)__1	43	4917.82	6.1019
101477-102464(-)__1	35	3907.5	9.6248
103131-107205(+)__1	80	9381.43	7.9991
107809-109708(+)__1	51	5987.95	6.8907
109810-110983(-)__1	71	8277.65	11.3963
111165-111927(-)__1	47	5030.91	11.5495
112169-113405(+)__1	64	7226.14	7.6377
113764-114949(+)__1	60	7111.09	10.9325
115169-117074(+)__1	29	3360.89	12.511
117181-118663(-)__1	69	7914.14	7.6366
118848-119628(+)__1	53	6097.26	10.562
119904-120510(+)__1	34	3752.19	7.0004
120698-121346(-)__1	22	2465.95	7.9874
122266-122369(+)__1	6	721.88	3.8497
122624-124621(-)__1	58	6679.6	6.4783
122926-124621(-)__1	54	6155.0	4.8537
125356-126332(+)__1	26	2744.02	3.3384
