orf_name	Length	Mol_weight	PI
4253-6038(-)_1	594	68872.12	8.1558
8866-11241(-)_1	435	45427.21	5.6084
14520-15894(+)_1	457	49686.36	5.3992
16384-17638(+)_1	417	46027.56	5.9368
18114-19263(+)_1	382	41152.31	5.9485
19538-20105(+)_1	188	20729.62	10.2859
20427-21933(+)_1	501	57371.67	4.9692
22220-24845(+)_1	874	98332.36	7.5299
25105-25648(+)_1	180	20146.01	7.605
25819-27961(-)_1	713	79239.83	6.3484
28848-31200(+)_1	783	87693.05	8.2289
31513-34654(+)_1	1046	119060.19	6.8006
34812-35553(-)_1	246	27419.31	5.7318
35772-37758(-)_1	661	75037.0	5.5511
37946-39830(-)_1	627	73026.28	4.5312
40004-40343(-)_1	112	12673.75	10.4319
40493-40826(+)_1	110	12772.67	10.1962
40911-41424(-)_1	170	18746.93	4.3768
41671-44164(-)_1	830	94017.38	5.9856
44290-45538(+)_1	415	46699.66	6.6257
45810-48375(+)_1	854	97227.08	8.1979
48755-50525(-)_1	589	65898.59	9.306
51747-52551(-)_1	267	30241.14	6.0312
54801-56304(+)_1	500	54562.56	7.0687
57017-57814(+)_1	127	14419.5	4.9619
58027-59137(-)_1	369	40741.1	8.4404
59405-62372(+)_1	988	111310.56	5.215
62446-62587(-)_1	20	2391.83	10.3162
62638-63508(+)_1	289	33117.76	4.836
63646-64873(-)_1	408	46802.8	10.1773
65628-66156(+)_1	175	19779.67	7.7758
66237-67386(-)_1	382	42827.09	9.9394
67644-69927(-)_1	760	87226.89	10.2097
70180-70645(+)_1	46	5046.51	5.675
70788-75198(-)_1	1469	169967.38	8.5205
75837-77445(+)_1	535	60140.57	8.3128
77658-78456(+)_1	265	30445.43	9.9156
78586-82654(-)_1	1355	153819.97	5.2483
83160-84084(-)_1	307	35805.61	5.0204
84474-88803(-)_1	1442	163619.33	6.3341
89194-91474(-)_1	759	87199.14	7.3902
91788-93342(-)_1	517	57968.96	4.52
93750-96270(-)_1	839	94900.02	6.8317
96583-97552(-)_1	65	6941.81	9.1783
97866-101241(+)_1	1124	127703.64	5.0431
101477-102464(-)_1	328	37373.91	9.2708
103131-107205(+)_1	1357	152482.97	5.4445
107809-109708(+)_1	632	70669.05	4.235
109810-110983(-)_1	390	44478.94	9.1993
111165-111927(-)_1	253	28767.4	4.2827
112169-113405(+)_1	411	47783.62	4.2717
113764-114949(+)_1	394	42589.14	6.6221
115169-117074(+)_1	634	73801.14	9.7269
117181-118663(-)_1	493	56429.24	7.5414
118848-119628(+)_1	259	30200.72	10.6038
119904-120510(+)_1	201	22370.72	11.1076
120698-121346(-)_1	215	24086.69	4.6377
122624-124621(-)_1	564	62109.38	5.5234
122926-124621(-)_1	564	62109.38	5.5234
125356-126332(+)_1	68	7602.65	4.0775
126882-130701(+)_1	1272	145319.87	5.831
130765-134343(-)_1	1095	125441.85	10.1522
135433-137050(+)_1	538	59514.31	9.8908
137241-137901(-)_1	219	24811.59	7.0207
138172-139459(+)_1	428	48910.99	4.4439
139975-141841(-)_1	621	70151.58	6.0557
142117-143020(+)_1	300	34321.29	6.7768
144347-146489(-)_1	713	79592.64	4.1031
146976-147897(+)_1	306	34656.29	4.8101
147995-149303(-)_1	435	51253.48	8.3858
149838-152763(-)_1	974	109990.03	7.8119
154200-154563(-)_1	120	12775.54	4.9556
159297-159429(+)_1	12	1503.84	9.3247
159429-160005(+)_1	191	21563.83	4.9816
160466-161183(+)_1	238	27644.32	4.508
161599-162202(+)_1	200	22770.45	5.1751
163161-163407(+)_1	71	7763.5	4.818
165415-165490(+)_1	13	1553.0	5.5289
166364-166442(+)_1	2	277.34	5.55
166456-166855(+)_1	24	2761.44	7.9909
166878-167193(+)_1	104	12090.49	6.3099
167523-167898(+)_1	124	14369.73	5.5228
168369-168972(+)_1	200	23752.62	8.9677
169320-171390(+)_1	689	77912.81	7.359
171767-175307(+)_1	1179	134226.79	5.1738
176075-176261(-)_1	17	1925.19	9.1671
179571-179985(+)_1	25	2842.41	11.65
183706-184138(+)_1	35	4087.97	5.6126
187426-188470(+)_1	50	5698.96	10.4997
755-1451(+)_1	231	27225.64	8.4352
3692-5183(+)_1	496	55306.26	7.3041
7671-8046(-)_1	124	13176.15	6.4582
8073-8145(+)_1	5	642.72	5.7894
8364-8448(+)_1	10	1117.33	10.0
9678-10269(-)_1	196	22754.46	5.8857
10643-13673(-)_1	1009	111404.44	8.663
14020-17473(-)_1	1150	131600.82	6.8183
17938-21052(-)_1	1037	117986.45	5.8697
21855-23316(-)_1	486	54421.86	5.3405
23883-24531(+)_1	215	24365.3	9.1619
24738-28080(-)_1	1113	123501.25	6.7096
30741-32385(+)_1	547	58807.17	9.4909
32834-34217(+)_1	460	52140.24	9.0255
34472-36746(+)_1	757	86523.98	4.2924
36879-37728(+)_1	282	31753.92	8.7862
37894-38563(-)_1	222	24834.31	5.7357
39611-40004(+)_1	130	14773.3	11.7939
40194-40811(-)_1	170	19328.29	9.5305
40989-42255(-)_1	421	47715.71	6.3961
42446-42980(+)_1	177	20548.91	11.2345
43198-44578(+)_1	459	50953.0	8.8766
44652-53013(-)_1	2786	322560.19	7.1705
53439-54360(-)_1	115	12316.4	10.8245
54830-56228(-)_1	465	51837.69	9.4737
57475-60433(+)_1	985	109840.73	9.6468
61158-63414(-)_1	751	84664.96	8.8424
63713-65129(-)_1	471	54537.76	8.3919
65819-66926(+)_1	368	40422.62	9.0232
67048-68674(-)_1	541	61801.8	8.7023
69234-73740(+)_1	1501	169686.32	5.9952
74337-74691(-)_1	117	13613.76	8.7807
74988-78207(-)_1	1072	123167.76	6.1918
78468-80412(-)_1	647	70526.93	4.8985
80712-81789(-)_1	358	41854.67	4.1844
82491-83094(-)_1	200	22461.62	11.3265
83947-84178(+)_1	16	1902.44	12.2226
84722-86012(+)_1	429	48422.76	8.4873
86375-87356(+)_1	326	35663.96	6.3393
87574-89812(-)_1	745	83532.43	5.9897
90558-94011(-)_1	1150	128675.9	8.0074
94284-95070(-)_1	261	29567.92	9.3008
95764-99106(+)_1	1113	126098.02	7.8367
99200-101291(-)_1	696	76718.77	9.7406
101811-103872(+)_1	686	78561.47	6.7141
104005-104421(-)_1	50	5949.7	8.5161
104598-105143(+)_1	83	9803.77	10.9199
105335-106613(+)_1	425	47197.65	4.8823
106714-107332(-)_1	205	21912.88	5.3138
107682-109074(+)_1	463	51019.82	4.2385
109489-110746(-)_1	418	47760.64	6.7117
111481-113023(+)_1	513	57660.16	10.0793
113213-115709(-)_1	831	96374.05	5.7115
116552-118580(-)_1	675	74460.5	6.5494
118939-119931(+)_1	271	30534.11	4.5525
120639-121056(+)_1	138	16057.41	9.3706
121713-125847(-)_1	1377	150408.67	4.2947
126209-127583(+)_1	457	52079.35	3.9461
127943-129317(-)_1	457	50189.91	8.1113
130515-131295(+)_1	259	28669.67	4.2683
132108-134028(-)_1	639	72369.67	8.7066
135008-135734(+)_1	241	26900.13	6.2384
135875-136514(-)_1	156	18473.05	10.4176
137719-139459(-)_1	579	64661.11	5.8024
139925-140621(+)_1	231	26328.97	11.0443
140970-144048(+)_1	1025	114964.83	8.7821
144186-145038(-)_1	283	32124.95	8.5848
147597-152148(-)_1	1516	174924.6	6.3803
152417-153452(-)_1	344	38242.17	6.7174
153941-155084(+)_1	380	41314.59	6.2532
155439-156471(+)_1	343	38672.24	11.2678
156793-157747(-)_1	30	3376.15	3.6135
158247-158529(-)_1	25	3100.56	4.6274
159854-160979(+)_1	374	42267.81	5.9649
161243-161564(-)_1	106	12392.5	10.9824
162539-163103(+)_1	25	3060.76	12.2435
164297-164714(+)_1	29	3562.28	10.7171
165163-165601(+)_1	145	16483.62	4.5338
166200-168225(+)_1	674	76910.77	7.9052
168482-171089(-)_1	868	98638.48	4.8104
171457-174874(-)_1	1138	127515.18	5.1481
175241-175676(-)_1	144	16230.05	4.4969
175983-177717(+)_1	577	66666.39	9.0671
177923-179483(+)_1	519	58961.53	9.5742
179563-180043(-)_1	103	11925.36	4.5452
180391-185195(-)_1	913	103090.41	4.6006
182453-185195(-)_1	913	103090.41	4.6006
186007-187069(+)_1	353	40745.93	6.7698
187679-189260(+)_1	526	58717.84	6.6716
192000-194676(-)_1	891	101684.13	4.7388
194996-196193(+)_1	398	44079.93	10.1763
196451-198698(+)_1	748	84586.42	8.7714
199005-199848(-)_1	280	32745.52	4.8238
200088-202116(+)_1	675	76559.61	9.9843
202543-205069(+)_1	841	94419.64	8.2196
205502-209228(-)_1	1241	135839.2	6.1789
209440-209992(-)_1	183	20390.12	9.1573
210320-213236(+)_1	971	111862.57	6.5441
214838-222320(+)_1	2493	286943.18	6.7394
222581-222980(-)_1	132	13989.16	11.3365
223696-224092(+)_1	131	14193.25	10.7388
224343-224658(-)_1	104	11529.37	7.384
226667-229010(-)_1	780	89550.03	6.4731
229439-230300(-)_1	286	32750.78	7.0779
230539-231961(+)_1	473	52583.4	9.0096
232082-233384(-)_1	433	50902.06	9.7169
233629-234268(+)_1	212	23950.62	6.4893
234722-236216(+)_1	497	54059.06	6.0247
236510-238703(-)_1	730	82434.46	9.8271
240028-241672(-)_1	547	61392.0	7.69
242979-243291(-)_1	103	11368.31	11.9086
243941-244352(+)_1	136	15355.93	11.9881
244698-245562(-)_1	287	32302.46	4.8826
246954-247569(-)_1	204	22660.43	5.9454
247922-249716(-)_1	597	67935.06	6.5099
250472-250856(+)_1	127	14468.54	6.418
251161-253912(-)_1	916	103348.12	4.2572
254643-255744(-)_1	366	42369.15	7.5423
256472-258572(-)_1	699	78343.55	5.6609
259246-260833(+)_1	528	58470.84	6.4271
261660-263562(+)_1	633	71598.71	7.5094
263944-264478(+)_1	177	19728.45	7.0073
264639-268146(-)_1	1168	131761.6	6.8197
269877-270783(+)_1	301	35024.99	8.4359
271111-272296(-)_1	394	44173.0	6.6172
273729-274872(-)_1	380	41901.6	9.2281
275269-276850(-)_1	526	59915.01	7.1513
277221-278595(-)_1	457	51694.8	8.6933
279140-280808(+)_1	555	62982.57	4.534
281082-282171(+)_1	362	39019.98	11.3325
282529-282695(+)_1	10	1171.4	6.9117
282821-285581(+)_1	919	102907.18	8.3138
285805-286924(-)_1	372	42605.35	5.6059
287141-287828(-)_1	228	26858.15	6.2931
290001-291234(-)_1	410	45359.17	7.5688
291472-292378(-)_1	301	34019.95	9.3274
292823-295718(+)_1	964	110101.84	8.841
296506-297442(+)_1	311	34379.56	9.8587
297866-298763(+)_1	298	33924.16	9.8754
299159-301169(+)_1	669	76953.7	8.708
301289-302486(-)_1	398	45595.12	9.9729
302753-304823(-)_1	689	77435.84	8.5376
305221-306940(-)_1	572	64805.62	9.4484
309869-311798(-)_1	642	73776.61	5.0599
312210-313215(-)_1	334	36848.57	9.1937
313536-314064(+)_1	175	20478.68	7.9056
314519-315521(+)_1	77	8892.5	11.6761
316102-318565(-)_1	820	93404.96	4.7457
318940-319951(-)_1	336	38340.08	7.7513
320453-321080(-)_1	208	22690.6	5.6395
321402-322479(-)_1	358	40348.59	4.7265
324835-325876(+)_1	346	38913.97	10.0156
326304-329007(-)_1	900	104705.87	9.2291
329551-331057(+)_1	501	57993.18	6.0132
333291-333495(+)_1	67	7446.8	5.4319
334173-335271(-)_1	365	41176.9	6.1143
335611-337960(-)_1	782	88999.37	4.7068
338264-338504(-)_1	9	1105.32	5.55
338791-342118(-)_1	1108	124499.39	7.2713
342552-344409(-)_1	618	70677.42	9.7564
344770-345814(+)_1	347	39929.9	9.6233
345849-346431(+)_1	193	21996.96	4.2966
346605-347538(-)_1	310	34769.67	7.564
347805-348363(-)_1	185	21230.7	4.3684
348811-350032(-)_1	406	45996.42	6.8361
350453-351551(-)_1	365	41211.71	10.029
351915-352578(-)_1	220	25188.63	10.5064
353975-354668(-)_1	230	22139.06	5.8061
355784-357614(-)_1	609	67918.83	8.5975
358477-360331(-)_1	617	68517.49	7.5616
361040-361754(-)_1	237	27310.31	9.2957
362226-362865(+)_1	212	23785.48	9.3281
363797-364442(+)_1	214	23836.72	5.4009
364984-367744(+)_1	919	103486.46	9.6862
